,District,League,Sport,1 Gm,2 Gm,Tour,1 Yr,Coach,Total,NumSchools
0,1,Pioneer Valley,BASEBALL-JV,1.0,0.0,0.0,0.0,0.0,1.0,52
1,2,South Worcester County C,BASEBALL-JV,0.0,0.0,0.0,0.0,1.0,1.0,4
2,8,South Coast Large,BASEBALL-JV,1.0,0.0,0.0,0.0,0.0,1.0,5
3,T,,BASEBALL-JV,2.0,0.0,0.0,0.0,1.0,3.0,
4,1,Berkshire County,BASEBALL-V,1.0,0.0,0.0,0.0,1.0,2.0,11
5,1,Pioneer Valley,BASEBALL-V,2.0,0.0,0.0,0.0,1.0,3.0,52
6,2,Colonial Athletic,BASEBALL-V,1.0,0.0,0.0,0.0,0.0,1.0,9
7,2,Dual Valley,BASEBALL-V,0.0,0.0,0.0,0.0,1.0,1.0,6
8,3,Midland Wachusett Div C,BASEBALL-V,1.0,0.0,0.0,0.0,0.0,1.0,7
9,4,Dual County,BASEBALL-V,0.0,0.0,1.0,0.0,2.0,3.0,11
10,4,Merrimack Valley I,BASEBALL-V,2.0,0.0,0.0,0.0,0.0,2.0,7
11,4,Middlesex,BASEBALL-V,0.0,0.0,0.0,0.0,1.0,1.0,12
12,5,Cape Ann,BASEBALL-V,0.0,0.0,0.0,0.0,1.0,1.0,12
13,5,Commonwealth,BASEBALL-V,1.0,0.0,0.0,0.0,0.0,1.0,13
14,5,Greater Boston,BASEBALL-V,3.0,0.0,0.0,0.0,2.0,5.0,8
15,5,Northeastern,BASEBALL-V,0.0,0.0,0.0,0.0,1.0,1.0,10
16,6,Catholic Conference B,BASEBALL-V,1.0,0.0,0.0,0.0,1.0,2.0,6
17,7,Bay State Carey Division,BASEBALL-V,0.0,0.0,0.0,0.0,1.0,1.0,5
18,7,Hockomock,BASEBALL-V,1.0,0.0,0.0,0.0,0.0,1.0,12
19,7,Tri-Valley,BASEBALL-V,0.0,0.0,0.0,0.0,1.0,1.0,12
20,8,Mayflower,BASEBALL-V,0.0,0.0,1.0,0.0,0.0,1.0,15
21,8,South Coast Large,BASEBALL-V,1.0,0.0,0.0,0.0,0.0,1.0,5
22,8,South Coast Small,BASEBALL-V,2.0,0.0,0.0,0.0,0.0,2.0,5
23,9,Patriot,BASEBALL-V,2.0,0.0,0.0,0.0,0.0,2.0,12
24,T,,BASEBALL-V,18.0,0.0,2.0,0.0,13.0,33.0,
25,1,Berkshire County,BASKETBALL-JV BOYS,1.0,0.0,0.0,0.0,0.0,1.0,11
26,1,Pioneer Valley,BASKETBALL-JV BOYS,0.0,1.0,0.0,0.0,1.0,2.0,52
27,2,Inter High,BASKETBALL-JV BOYS,0.0,0.0,0.0,0.0,2.0,2.0,6
28,2,South Worcester County C,BASKETBALL-JV BOYS,1.0,0.0,0.0,0.0,0.0,1.0,4
29,3,Midland Wachusett Div B,BASKETBALL-JV BOYS,2.0,0.0,0.0,0.0,0.0,2.0,7
30,4,Merrimack Valley I,BASKETBALL-JV BOYS,1.0,0.0,0.0,0.0,0.0,1.0,7
31,4,Middlesex,BASKETBALL-JV BOYS,3.0,0.0,0.0,0.0,0.0,3.0,12
32,5,Cape Ann,BASKETBALL-JV BOYS,0.0,1.0,0.0,0.0,0.0,1.0,12
33,5,Independent,BASKETBALL-JV BOYS,1.0,0.0,0.0,0.0,0.0,1.0,3
34,5,Northeastern,BASKETBALL-JV BOYS,1.0,0.0,0.0,0.0,0.0,1.0,10
35,7,Hockomock,BASKETBALL-JV BOYS,0.0,1.0,0.0,0.0,0.0,1.0,12
36,7,Tri-Valley,BASKETBALL-JV BOYS,1.0,0.0,0.0,0.0,0.0,1.0,12
37,9,Cape and Islands,BASKETBALL-JV BOYS,0.0,0.0,0.0,0.0,1.0,1.0,13
38,T,,BASKETBALL-JV BOYS,11.0,3.0,0.0,0.0,4.0,18.0,
39,8,Mayflower,BASKETBALL-JV GIRLS,0.0,1.0,0.0,0.0,0.0,1.0,15
40,T,,BASKETBALL-JV GIRLS,0.0,1.0,0.0,0.0,0.0,1.0,
41,1,Pioneer Valley,BASKETBALL-V BOYS,1.0,0.0,0.0,0.0,0.0,1.0,52
42,2,South Worcester County A,BASKETBALL-V BOYS,1.0,0.0,0.0,0.0,0.0,1.0,4
43,2,South Worcester County B,BASKETBALL-V BOYS,0.0,6.0,0.0,0.0,0.0,6.0,4
44,3,Midland Wachusett Div C,BASKETBALL-V BOYS,0.0,1.0,0.0,0.0,0.0,1.0,7
45,3,Midland Wachusett Div D,BASKETBALL-V BOYS,0.0,0.0,0.0,0.0,1.0,1.0,6
46,3,Worcester County Athletic Conf,BASKETBALL-V BOYS,0.0,1.0,0.0,0.0,0.0,1.0,6
47,4,Middlesex,BASKETBALL-V BOYS,0.0,0.0,0.0,0.0,1.0,1.0,12
48,5,Commonwealth,BASKETBALL-V BOYS,1.0,0.0,0.0,0.0,1.0,2.0,13
49,5,Greater Boston,BASKETBALL-V BOYS,0.0,0.0,0.0,0.0,1.0,1.0,8
50,5,Northeastern,BASKETBALL-V BOYS,0.0,0.0,0.0,0.0,1.0,1.0,10
51,6,Boston City,BASKETBALL-V BOYS,1.0,0.0,0.0,0.0,0.0,1.0,6
52,6,Boston City North,BASKETBALL-V BOYS,0.0,1.0,0.0,0.0,0.0,1.0,13
53,6,Catholic Central,BASKETBALL-V BOYS,1.0,0.0,0.0,0.0,0.0,1.0,9
54,7,Bay State Carey Division,BASKETBALL-V BOYS,0.0,0.0,0.0,0.0,1.0,1.0,5
55,7,Tri-Valley,BASKETBALL-V BOYS,1.0,0.0,0.0,0.0,0.0,1.0,12
56,8,Mayflower,BASKETBALL-V BOYS,1.0,0.0,0.0,0.0,1.0,2.0,15
57,8,Southeast Conference,BASKETBALL-V BOYS,1.0,0.0,0.0,0.0,0.0,1.0,5
58,9,Cape and Islands,BASKETBALL-V BOYS,3.0,1.0,0.0,0.0,0.0,4.0,13
59,T,,BASKETBALL-V BOYS,11.0,10.0,0.0,0.0,7.0,28.0,
60,1,Pioneer Valley,BASKETBALL-V GIRLS,0.0,1.0,0.0,0.0,0.0,1.0,52
61,2,Inter High,BASKETBALL-V GIRLS,1.0,0.0,0.0,0.0,0.0,1.0,6
62,5,Commonwealth,BASKETBALL-V GIRLS,0.0,0.0,0.0,0.0,1.0,1.0,13
63,5,Greater Boston,BASKETBALL-V GIRLS,0.0,1.0,0.0,0.0,0.0,1.0,8
64,6,Boston City,BASKETBALL-V GIRLS,1.0,0.0,0.0,0.0,0.0,1.0,6
65,8,South Coast Small,BASKETBALL-V GIRLS,0.0,0.0,0.0,0.0,1.0,1.0,5
66,8,Southeast Conference,BASKETBALL-V GIRLS,1.0,0.0,0.0,0.0,0.0,1.0,5
67,T,,BASKETBALL-V GIRLS,3.0,2.0,0.0,0.0,2.0,7.0,
68,2,Dual Valley,FIELD HOCKEY-V,0.0,0.0,1.0,0.0,0.0,1.0,6
69,5,Northeastern,FIELD HOCKEY-V,1.0,0.0,0.0,0.0,0.0,1.0,10
70,T,,FIELD HOCKEY-V,1.0,0.0,1.0,0.0,0.0,2.0,
71,1,Berkshire County,FOOTBALL-V,0.0,1.0,1.0,0.0,0.0,2.0,11
72,1,Pioneer Valley,FOOTBALL-V,1.0,5.0,0.0,0.0,0.0,6.0,52
